1	I	-10	0	0	0
2	I	-8.64917	5.03837	0	0
3	I	-4.98093	8.6822	0	0
4	I	0	10	0	0
5	I	4.98093	8.6822	0	0
6	I	8.64917	5.03837	0	0
7	I	10	1.23724e-15	0	0
8	I	8.64917	-5.03837	0	0
9	I	4.98093	-8.6822	0	0
10	I	0	-10	0	0
11	I	-4.98093	-8.6822	0	0
12	I	-8.64917	-5.03837	0	0
13	I	-30	0	0	0
14	I	-25.6589	16.1021	0	0
15	I	-14.4775	26.5651	0	0
16	I	0	30	0	0
17	I	14.4775	26.5651	0	0
18	I	25.6589	16.1021	0	0
19	I	30	4.0511e-15	0	0
20	I	25.6589	-16.1021	0	0
21	I	14.4775	-26.5651	0	0
22	I	0	-30	0	0
23	I	-14.4775	-26.5651	0	0
24	I	-25.6589	-16.1021	0	0
25	I	-50	0	0	0
26	I	-41.5608	30.7897	0	0
27	I	-22.521	45.9047	0	0
28	I	0	50	0	0
29	I	22.521	45.9047	0	0
30	I	41.5608	30.7897	0	0
31	I	50	8.36219e-15	0	0
32	I	41.5608	-30.7897	0	0
33	I	22.521	-45.9047	0	0
34	I	1.27222e-14	-50	0	0
35	I	-22.521	-45.9047	0	0
36	I	-41.5608	-30.7897	0	0
37	I	-70	0	0	0
38	I	-54.4687	53.9476	0	0
39	I	-28.0243	67.2041	0	0
40	I	0	70	0	0
41	I	28.0243	67.2041	0	0
42	I	54.4687	53.9476	0	0
43	I	70	1.92783e-14	0	0
44	I	54.4687	-53.9476	0	0
45	I	28.0243	-67.2041	0	0
46	I	1.27222e-14	-70	0	0
47	I	-28.0243	-67.2041	0	0
48	I	-54.4687	-53.9476	0	0
49	I	-90	0	0	0
50	I	-60	90	0	0
51	I	-30	90	0	0
52	I	-1.27222e-14	90	0	0
53	I	30	90	0	0
54	I	60	90	0	0
55	I	90	0	0	0
56	I	60	-90	0	0
57	I	30	-90	0	0
58	I	1.27222e-14	-90	0	0
59	I	-30	-90	0	0
60	I	-60	-90	0	0
61	I	-70	180	0	0
62	I	-54.4687	126.052	0	0
63	I	-28.0243	112.796	0	0
64	I	-1.27222e-14	110	0	0
65	I	28.0243	112.796	0	0
66	I	54.4687	126.052	0	0
67	I	70	180	0	0
68	I	54.4687	-126.052	0	0
69	I	28.0243	-112.796	0	0
70	I	0	-110	0	0
71	I	-28.0243	-112.796	0	0
72	I	-54.4687	-126.052	0	0
73	I	-50	180	0	0
74	I	-41.5608	149.21	0	0
75	I	-22.521	134.095	0	0
76	I	-1.27222e-14	130	0	0
77	I	22.521	134.095	0	0
78	I	41.5608	149.21	0	0
79	I	50	180	0	0
80	I	41.5608	-149.21	0	0
81	I	22.521	-134.095	0	0
82	I	0	-130	0	0
83	I	-22.521	-134.095	0	0
84	I	-41.5608	-149.21	0	0
85	I	-30	180	0	0
86	I	-25.6589	163.898	0	0
87	I	-14.4775	153.435	0	0
88	I	-1.27222e-14	150	0	0
89	I	14.4775	153.435	0	0
90	I	25.6589	163.898	0	0
91	I	30	180	0	0
92	I	25.6589	-163.898	0	0
93	I	14.4775	-153.435	0	0
94	I	0	-150	0	0
95	I	-14.4775	-153.435	0	0
96	I	-25.6589	-163.898	0	0
97	I	-10	180	0	0
98	I	-8.64917	174.962	0	0
99	I	-4.98093	171.318	0	0
100	I	-1.27222e-14	170	0	0
101	I	4.98093	171.318	0	0
102	I	8.64917	174.962	0	0
103	I	10	180	0	0
104	I	8.64917	-174.962	0	0
105	I	4.98093	-171.318	0	0
106	I	0	-170	0	0
107	I	-4.98093	-171.318	0	0
108	I	-8.64917	-174.962	0	0
